ratio,angle_index,design,n,runs,identifiable_runs,identifiable_rate,condition_median,condition_p90,hessian_relative_error_median,hessian_relative_error_p90,hessian_relative_error_max,magnitude_relative_error_median,magnitude_relative_error_p90,magnitude_relative_error_max,spectrum_l1_error_median,spectrum_l1_error_p90,spectrum_l1_error_max,log_condition_error_median,log_condition_error_p90,log_condition_error_max,pairwise_order_accuracy_median,pairwise_order_accuracy_p90,pairwise_order_accuracy_max,tie_fraction_median,tie_fraction_p90,tie_fraction_max
1,2,sobol,12,50,50,1.0,10.110660939202457,13.324717176305816,6.464072928908868e-16,1.1613973452744218e-15,3.903858421523317e-15,3.1401849173675493e-16,9.420554752102648e-16,1.0990647210786423e-15,4.440892098500626e-16,8.715250743307484e-16,3.941291737419306e-15,8.881784197001248e-16,1.6431300764452316e-15,7.993605777301096e-15,1.0,1.0,1.0,0.0,0.0,0.0
1,2,sobol,20,50,50,1.0,7.759952792116064,9.365534761689947,5.103092384246967e-16,1.062265395998861e-15,1.6189561878609006e-15,3.1401849173675493e-16,9.420554752102648e-16,1.2560739669470197e-15,3.3306690738754696e-16,5.551115123125783e-16,1.6653345369377348e-15,6.661338147750937e-16,1.110223024625156e-15,3.330669073875464e-15,1.0,1.0,1.0,0.0,0.0,0.0
1,2,trajectory,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,2,trajectory,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,2,trajectory,6,50,48,0.96,193.62641800637925,1632.611129156592,2.9745241004517965e-15,3.0384025385066914e-14,1.978470268213449e-13,1.6485970816179633e-15,1.0974946286199594e-14,1.408372935439346e-13,2.1649348980190553e-15,2.7539082125827034e-14,1.389999226830696e-13,4.440892098500617e-15,5.504485756091378e-14,2.779998453661006e-13,1.0,1.0,1.0,0.0,0.0,0.0
1,2,trajectory,8,50,49,0.98,58.15551591002621,167.8312638219695,1.233473090398494e-15,3.468306468741394e-15,8.3102053923405e-15,6.280369834735099e-16,2.072522045462583e-15,5.652332851261589e-15,9.43689570931383e-16,3.3528735343679746e-15,6.161737786669619e-15,1.9984014443252798e-15,6.705747068735927e-15,1.2212453270876648e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,2,trajectory,12,50,50,1.0,44.650279701625365,143.68728843897418,8.807570674731536e-16,2.0039053059437805e-15,1.1125994744491906e-14,3.1401849173675493e-16,1.0990647210786423e-15,2.5121479338940395e-15,6.106226635438361e-16,1.8707257964933893e-15,1.0880185641326534e-14,1.2212453270876714e-15,3.8413716652030355e-15,2.176037128265283e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,2,trajectory,20,50,50,1.0,47.63843899884106,91.26477797564223,1.0697300618467754e-15,3.0417628903849572e-15,4.850706090022827e-15,4.710277376051324e-16,9.420554752102648e-16,3.4542034091043042e-15,8.049116928532385e-16,2.786659791809143e-15,4.9404924595819466e-15,1.554312234475218e-15,5.57331958361827e-15,9.992007221626358e-15,1.0,1.0,1.0,0.0,0.0,0.0
1,2,uniform,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,2,uniform,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,2,uniform,6,50,50,1.0,67.90063823280497,760.7233692127069,2.489644060458967e-15,1.0951039071109617e-14,1.153263516883275e-12,1.0990647210786423e-15,4.459062582661921e-15,4.736968947848948e-13,1.970645868709653e-15,1.049715869783086e-14,1.0513812043200232e-12,3.88578058618804e-15,2.109423746787776e-14,2.1027624086378356e-12,1.0,1.0,1.0,0.0,0.0,0.0
1,2,uniform,8,50,50,1.0,27.293740016874843,94.14713554364701,1.0205656416430615e-15,3.885386004617905e-15,6.503507691153003e-15,6.280369834735099e-16,2.135325743809935e-15,3.925231146709437e-15,8.881784197001252e-16,3.3417713041217213e-15,5.6066262743570405e-15,1.7763568394002489e-15,6.6835426082434206e-15,1.1324274851176532e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,2,uniform,12,50,50,1.0,14.552328386986519,24.093593122765014,6.141438394141839e-16,1.4079728257563476e-15,3.962849863182254e-15,3.1401849173675493e-16,7.850462293418874e-16,3.611212654972682e-15,4.440892098500626e-16,1.3433698597964396e-15,1.7763568394002505e-15,8.881784197001248e-16,2.6867397195928756e-15,3.5527136788004946e-15,1.0,1.0,1.0,0.0,0.0,0.0
1,2,uniform,20,50,50,1.0,10.610428199481717,14.306320305640929,5.33699997082617e-16,1.4740508033660121e-15,4.425332435349383e-15,2.355138688025662e-16,9.420554752102648e-16,1.5700924586837747e-15,3.3306690738754696e-16,1.076916333886403e-15,4.3298697960381105e-15,6.661338147750937e-16,2.1538326677728035e-15,8.659739592076183e-15,1.0,1.0,1.0,0.0,0.0,0.0
4,0,sobol,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0,sobol,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0,sobol,6,50,50,1.0,33.85429542525195,177.63930869614083,1.0614223390754696e-15,4.692056958774775e-15,4.7374087853613865e-14,6.46244724497257e-16,3.2743066041194364e-15,3.295848094936011e-14,7.355227538141662e-16,4.718447854656916e-15,2.1538326677728037e-14,2.3314683517128287e-15,1.4810375148499592e-14,6.750155989720952e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,0,sobol,8,50,50,1.0,11.260417807814985,30.003732339084863,6.233943454721342e-16,1.4347664915479171e-15,7.714628635614458e-15,3.231223622486285e-16,1.0770745408287618e-15,1.5079043571602665e-15,3.0531133177191805e-16,8.659739592076222e-16,2.3037127760972e-15,1.1102230246251565e-15,2.686739719592879e-15,6.8833827526759706e-15,1.0,1.0,1.0,0.0,0.0,0.0
4,0,sobol,12,50,50,1.0,9.804421555874185,12.340099657469088,5.72494750460472e-16,1.3729256815668683e-15,8.862906671051765e-15,4.308298163315047e-16,1.0986160316453373e-15,4.739127979646551e-15,2.3592239273284576e-16,1.1657341758564144e-15,1.0047518372857667e-14,7.771561172376096e-16,3.574918139293004e-15,3.1530333899354446e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,0,sobol,20,50,50,1.0,8.088114122321146,8.989248856119382,6.540362101661881e-16,2.608825327027733e-15,1.0666029408311623e-14,3.231223622486285e-16,8.616596326630094e-16,4.739127979646551e-15,4.440892098500626e-16,1.1768364061026665e-15,6.022959908591474e-15,1.3322676295501878e-15,3.663735981263018e-15,1.887379141862766e-14,1.0,1.0,1.0,0.0,0.0,0.0
4,0,trajectory,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0,trajectory,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
