relative_se,spectrum_width,spd_probability,drift,coverage,risk,risk_ucb95,selected_seed_clusters
0.3,0.3,0.8,0.05,0.002142857142857143,0.037037037037037035,0.09302325581395349,25
0.3,0.3,0.8,0.1,0.015952380952380954,0.08955223880597014,0.1233353331208559,47
0.3,0.3,0.8,0.2,0.058888888888888886,0.24932614555256064,0.28138265988663824,50
0.3,0.3,0.8,0.3,0.09087301587301587,0.42707423580786025,0.45490549887329174,50
0.3,0.3,0.8,0.5,0.12694444444444444,0.5751797436698969,0.5996786653368393,50
0.3,0.3,0.9,0.05,0.0019047619047619048,0.041666666666666664,0.10256410256410256,23
0.3,0.3,0.9,0.1,0.01507936507936508,0.09473684210526316,0.12766426094291872,47
0.3,0.3,0.9,0.2,0.05623015873015873,0.25335215243472126,0.28218977274165297,50
0.3,0.3,0.9,0.3,0.08706349206349207,0.43345487693710116,0.46267386058554294,50
0.3,0.3,0.9,0.5,0.12174603174603174,0.5811603650586702,0.6059801115689086,50
0.3,0.3,0.95,0.05,0.0019047619047619048,0.041666666666666664,0.10344827586206896,23
0.3,0.3,0.95,0.1,0.014801587301587302,0.09651474530831099,0.12935921207888842,46
0.3,0.3,0.95,0.2,0.05420634920634921,0.2547584187408492,0.283848599213029,50
