relative_se,spectrum_width,spd_probability,drift,coverage,risk,risk_ucb95,selected_seed_clusters
0.05,0.5,0.95,0.05,0.0015476190476190477,0.1794871794871795,0.34214285714285714,21
0.05,0.5,0.95,0.1,0.011111111111111112,0.1,0.15263116523031628,40
0.05,0.5,0.95,0.2,0.032857142857142856,0.20652173913043478,0.2574532214827756,48
0.05,0.5,0.95,0.3,0.052182539682539685,0.36045627376425854,0.41077546666794074,50
0.05,0.5,0.95,0.5,0.07357142857142857,0.4989212513484358,0.5415516643314787,50
0.1,0.1,0.8,0.1,0.005753968253968254,0.08275862068965517,0.15238385598141696,30
0.1,0.1,0.8,0.2,0.015833333333333335,0.13784461152882205,0.18599314683743398,40
0.1,0.1,0.8,0.3,0.023333333333333334,0.272108843537415,0.33278735632183903,45
0.1,0.1,0.8,0.5,0.03301587301587302,0.4362980769230769,0.4956105006105006,46
0.1,0.1,0.9,0.1,0.005634920634920635,0.08450704225352113,0.15716242661448138,30
0.1,0.1,0.9,0.2,0.015119047619047619,0.14173228346456693,0.19489651722079837,40
0.1,0.1,0.9,0.3,0.0225,0.2786596119929453,0.3378550368550368,45
0.1,0.1,0.9,0.5,0.032103174603174606,0.4437577255871446,0.5019766767049375,46
0.1,0.1,0.95,0.1,0.005595238095238095,0.0851063829787234,0.15755227108868058,30
0.1,0.1,0.95,0.2,0.01496031746031746,0.14058355437665782,0.19370929294066858,40
0.1,0.1,0.95,0.3,0.0223015873015873,0.2793594306049822,0.3403511615343058,45
0.1,0.1,0.95,0.5,0.031746031746031744,0.44375,0.5035389963250123,46
0.1,0.2,0.8,0.05,0.002261904761904762,0.10526315789473684,0.21818181818181817,29
0.1,0.2,0.8,0.1,0.015595238095238096,0.0737913486005089,0.106671875,44
0.1,0.2,0.8,0.2,0.04488095238095238,0.16268788682581786,0.19484069365097803,49
0.1,0.2,0.8,0.3,0.06849206349206349,0.30359212050984935,0.33900635767197945,50
0.1,0.2,0.8,0.5,0.09579365079365079,0.4531897265948633,0.48736485679065145,50
0.1,0.2,0.9,0.05,0.0021825396825396826,0.10909090909090909,0.2222222222222222,28
0.1,0.2,0.9,0.1,0.01503968253968254,0.07387862796833773,0.10863812522708005,43
0.1,0.2,0.9,0.2,0.04321428571428571,0.16620752984389348,0.20037498069886275,49
0.1,0.2,0.9,0.3,0.06619047619047619,0.30995203836930457,0.34624059310628635,50
0.1,0.2,0.9,0.5,0.09246031746031746,0.45793991416309016,0.49210992907801415,50
0.1,0.2,0.95,0.05,0.0021825396825396826,0.10909090909090909,0.2222222222222222,28
0.1,0.2,0.95,0.1,0.014642857142857143,0.07588075880758807,0.1111111111111111,43
0.1,0.2,0.95,0.2,0.04234126984126984,0.16869728209934395,0.20364815003950323,49
0.1,0.2,0.95,0.3,0.0648015873015873,0.31475811390079605,0.3537873552377107,50
0.1,0.2,0.95,0.5,0.09059523809523809,0.46386333771353483,0.5007151391496608,50
0.1,0.3,0.8,0.05,0.003412698412698413,0.08139534883720931,0.14942528735632185,34
0.1,0.3,0.8,0.1,0.022341269841269842,0.06216696269982238,0.08556518142422379,48
0.1,0.3,0.8,0.2,0.06765873015873015,0.16656891495601173,0.19821129816036098,50
0.1,0.3,0.8,0.3,0.10396825396825397,0.3114503816793893,0.34346651391043914,50
0.1,0.3,0.8,0.5,0.14599206349206348,0.45773307964120685,0.48149525391954234,50
